,Title,Score,User_Score,Author,Platform,Genre
97,sinner-sacrifice-for-redemption,score-6,999," ""Ginny Woo""","mac-,-ns-,-pc-,ps4-,one-","Action,Adventure"
98,the-quiet-man,score-2,4.2," ""Calum Marsh""","-pc-,ps4-","Action,Adventure"
99,cities-skylines-industries,score-7,8," ""Brett Todd""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Management,Strategy"
100,snk-40th-anniversary-collection,score-8,999," ""Peter Brown""","-ns-,ps4-",Compilation
101,deracine,score-5,999," ""Alessandro Barbosa""",ps4-,"v-r,Adventure"
102,football-manager-2019,score-8,999," ""Richard Wakeling""","mac-,-ns-,-pc-","Soccer,Sports,Team-Based,Management"
103,call-of-cthulhu,score-5,6.3," ""David Wildgoose""","-ns-,-pc-,ps4-,one-",Role-Playing
104,diablo-3-eternal-collection-switch,score-9,7.3," ""Mike Mahardy""","mac-,-ns-,-pc-,ps3-,ps4-,360-,one-","Role-Playing,Action"
105,gwent,score-8,8.2," ""Alessandro Barbosa""","and-,ios-,-pc-,ps4-,one-",Trivia-Board-Game
106,black-bird,score-5,999," ""Tom Mc Shea""","mac-,-ns-,-pc-","Shoot-Em-Up,2D,Action"
107,transistor,score-8,8.2," ""Carolyn Petit""","ios-,lnx-,mac-,-ns-,-pc-,ps4-","Action,Role-Playing"
108,red-dead-redemption-2,score-9,8.7," ""Kallie Plagge""","ps4-,one-","Adventure,Action"
109,my-hero-ones-justice,score-6,999," ""Jordan Ramée""","-ns-,-pc-,ps4-,one-","3D,Fighting,Action"
110,wwe-2k19,score-7,7.2," ""Richard Wakeling""","-pc-,ps4-,one-","Wrestling,Action,Fighting"
111,return-of-the-obra-dinn,score-9,7," ""David Wildgoose""","mac-,-pc-","First-Person,3D,Adventure"
112,nba-2k-playgrounds-2,score-5,999," ""Michael Higham""","-ns-,-pc-,ps4-,one-","Team-Based,Arcade,Basketball,Sports"
113,call-of-duty-black-ops-4,score-8,6," ""Kallie Plagge""","-pc-,ps4-,one-","Action,First-Person,Shooter,Tactical"
114,reigns-game-of-thrones,score-8,999," ""Chris Pereira""","and-,ios-,lnx-,mac-,-ns-,-pc-",Trivia-Board-Game
115,soulcalibur-6,score-8,7.3," ""Tamoor Hussain""","-pc-,ps4-,one-","Action,Fighting,3D"
116,lego-dc-super-villains,score-5,7.9," ""Justin Clark""","-ns-,-pc-,ps4-,one-","Action,Adventure"
117,dark-souls-remastered-switch,score-8,8.4," ""Alessandro Fillari""","-ns-,-pc-,ps3-,ps4-,360-,one-","Role-Playing,Action"
118,thronebreaker-the-witcher-tales,score-9,7.7," ""Alessandro Barbosa""","-pc-,ps4-,one-",Card-Game
119,armello,score-8,6.1," ""Janine Hawkins""","and-,ios-,lnx-,mac-,-ns-,-pc-,ps4-,one-",Trivia-Board-Game
120,starlink-battle-for-atlas,score-7,7.5," ""James O&#039;Connor""","-ns-,ps4-,one-",Simulation
121,child-of-light,score-8,8.1," ""Tom Mc Shea""","-ns-,-pc-,ps3-,ps4-,ita-,iiu-,360-,one-",Role-Playing
122,chasm,score-8,6.2," ""Tom Mc Shea""","lnx-,mac-,-ns-,-pc-,ps4-,ita-,one-","Action,Adventure"
123,the-missing,score-8,999," ""David Wildgoose""","-ns-,-pc-,ps4-,one-",Action
124,luigis-mansion,score-7,8.1," ""James O&#039;Connor""","3ds-,-gc-","Action,Adventure"
125,super-mario-party,score-7,7," ""Jordan Ramée""",-ns-,Party-Minigame
126,my-memory-of-us,score-5,999," ""James O&#039;Connor""","-ns-,-pc-,ps4-,one-","Platformer,2D,Action"
127,world-of-warcraft-battle-for-azeroth-come-one-come,score-7,8.8," ""Ginny Woo""","mac-,-pc-","Adventure,Third-Person,Open-World,MMO,Role-Playing,Action"
128,fifa-19-nintendo-switch,score-5,4.4," ""Oscar Dayus""","-ns-,-pc-,ps3-,ps4-,360-,one-","Simulation,Soccer,Sports,Team-Based"
129,pathfinder-kingmaker,score-6,7.5," ""Daniel Starkey""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Role-Playing,Action"
130,assassins-creed-odyssey,score-8,8," ""Alessandro Fillari""","-ns-,-pc-,ps4-,one-","Action,Adventure"
131,fifa-19,score-7,4.4," ""Oscar Dayus""","-ns-,-pc-,ps3-,ps4-,360-,one-","Simulation,Soccer,Sports,Team-Based"
132,forza-horizon-4,score-9,8.4," ""Edmond Tran""","-pc-,one-","Simulation,Driving-Racing"
133,destiny-2-forsaken,score-8,6.1," ""Kallie Plagge""","-pc-,ps4-,one-","Action,3D,First-Person,Shooter"
134,cities-skylines,score-8,8," ""Brett Todd""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Strategy,Management"
135,mega-man-11,score-7,7.2," ""Heidi Kemps""","-ns-,-pc-,ps4-,one-","Platformer,Action,2D"
136,fist-of-the-north-star-lost-paradise,score-8,7.7," ""Matt Espineli""",ps4-,"Role-Playing,Action"
137,the-bards-tale-iv-barrows-deep,score-4,6.6," ""Brett Todd""","lnx-,mac-,-pc-,ps4-,one-",Role-Playing
138,final-fantasy-xv-pocket-edition-hd,score-7,999," ""Justin Clark""","and-,ios-,-ns-,-pc-,ps4-,one-",Role-Playing
139,dragon-ball-fighterz,score-9,7.9," ""Peter Brown""","-ns-,-pc-,ps4-,one-","Fighting,Action,2D"
140,telltales-the-walking-dead-the-final-season-episod,score-8,8.3," ""Justin Clark""","and-,ios-,mac-,-ns-,-pc-,ps4-,one-",Adventure
141,transference,score-7,6.1," ""Alessandro Barbosa""","-pc-,ps4-,one-","3D,Adventure,First-Person,v-r"
142,life-is-strange-2-episode-1,score-9,6.6," ""Jess McDonell""","lnx-,mac-,-pc-,ps4-,one-","Action,Adventure"
143,star-control-origins,score-6,999," ""David Wildgoose""",-pc-,Strategy
144,broken-sword-5-the-serpent-s-curse,score-8,7.4," ""Cameron Woolsey""","and-,ios-,lnx-,mac-,obi-,-ns-,-pc-,ps4-,ita-,one-",Adventure
145,the-gardens-between,score-8,999," ""Peter Brown""","lnx-,mac-,-ns-,-pc-,ps4-,one-",Adventure
146,wasteland-2-directors-cut-nintendo-switch,score-8,8.2," ""Daniel Starkey""","lnx-,mac-,-ns-,-pc-,ps4-,one-",Role-Playing
147,zone-of-the-enders-the-2nd-runner-mars,score-5,9.1," ""Justin Clark""","-pc-,ps2-,ps3-,ps4-",Simulation
148,undertale,score-9,8," ""Tyler Hicks""","lnx-,mac-,-ns-,-pc-,ps4-,ita-",Role-Playing
149,nhl-19,score-8,5.8," ""Eddie Makuch""","ps4-,one-","Team-Based,Hockey,Simulation,Sports"
150,frozen-synapse-2,score-8,999," ""James Swinbanks""","lnx-,mac-,-pc-","Real-Time,Strategy"
151,nintendo-labo-vehicle-kit,score-7,999," ""Randolph Ramsay""",-ns-,Party-Minigame
152,lamplight-city,score-6,999," ""James O&#039;Connor""","lnx-,mac-,-pc-",Adventure
153,428-shibuya-scramble,score-8,6.3," ""Heidi Kemps""","and-,ios-,-pc-,ps3-,ps4-,psp-,wii-","Adventure,Action"
154,nba-2k19,score-7,5.6," ""Michael Higham""","and-,ios-,-ns-,-pc-,ps4-,one-","Team-Based,Basketball,Simulation,Sports"
155,valkyria-chronicles-4,score-8,7.6," ""Ginny Woo""","-ns-,-pc-,ps4-,one-","Strategy,Turn-Based"
156,shadow-of-the-tomb-raider,score-6,7.4," ""Edmond Tran""","lnx-,mac-,-pc-,ps4-,one-","Action,Adventure"
157,nba-live-19,score-7,5.1," ""Eddie Makuch""","ps4-,one-","Sports,Team-Based,Basketball,Simulation"
158,two-point-hospital,score-8,7.5," ""James Swinbanks""","lnx-,mac-,-pc-",Simulation
159,pes-2019,score-9,6.8," ""Richard Wakeling""","-pc-,ps4-,one-","Simulation,Soccer,Sports,Team-Based"
160,divinity-original-sin-2,score-10,8.7," ""Brett Todd""","mac-,-pc-,ps4-,one-",Role-Playing
161,marvels-spider-man-ps4,score-9,8.5," ""Edmond Tran""",ps4-,"Adventure,Action"
162,strange-brigade,score-7,7.1," ""Daniel Starkey""","-pc-,ps4-,one-","Third-Person,3D,Action,Shooter"
163,planet-alpha,score-7,999," ""James O&#039;Connor""","-ns-,-pc-,ps4-,one-","Platformer,2D,Action"
164,freedom-planet,score-7,8.1," ""Matt Espineli""","lnx-,mac-,-ns-,-pc-,ps4-,iiu-","2D,Action,Platformer"
165,little-dragons-cafe,score-6,999," ""Kallie Plagge""","-ns-,-pc-,ps4-","Management,Strategy"
166,into-the-breach,score-9,7.9," ""Edmond Tran""","mac-,-ns-,-pc-","Turn-Based,Strategy,Tactical"
167,yakuza-kiwami-2,score-8,8.3," ""Edmond Tran""","-pc-,ps2-,ps4-","Adventure,Action"
168,the-messenger,score-8,7.3," ""Alexander Pan""","-ns-,-pc-,ps4-,one-","2D,Platformer,Action"
169,the-golf-club-2019,score-8,999," ""Eddie Makuch""","-pc-,ps4-,one-","Simulation,Sports,Golf"
170,hollow-knight,score-9,8.3," ""Alessandro Barbosa""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Action,Adventure"
171,monster-hunter-generations-ultimate,score-7,8.8," ""Daniel Starkey""","3ds-,-ns-","Action,Role-Playing"
172,dragon-quest-xi-echoes-of-an-elusive-age,score-9,8.3," ""Heidi Kemps""","3ds-,-ns-,-pc-,ps4-",Role-Playing
173,f1-2018,score-9,8.7," ""James Swinbanks""","-pc-,ps4-,one-","Driving-Racing,Simulation"
174,donut-county,score-6,999," ""James O&#039;Connor""","ios-,mac-,-ns-,-pc-,ps4-,one-","Adventure,Action"
175,deaths-gambit,score-6,999," ""James Swinbanks""","-ns-,-pc-,ps4-,one-","Action,Role-Playing"
176,the-kings-bird,score-5,999," ""Tom Mc Shea""","-ns-,-pc-,ps4-,one-","Platformer,2D,Action"
177,guacamelee-2,score-9,7.4," ""Justin Clark""","-ns-,-pc-,ps4-,one-","2D,Action,Platformer"
178,h1z1-battle-royale-ps4,score-7,6.1," ""Michael Higham""","-pc-,ps4-,one-","3D,Action,Adventure,Survival"
179,the-walking-dead-the-final-season-episode-1-done-r,score-8,8.3," ""Justin Clark""","and-,ios-,mac-,-ns-,-pc-,ps4-,one-",Adventure
180,phantom-doctrine,score-9,5.6," ""Alexander Pan""","-ns-,-pc-,ps4-,one-","Strategy,Turn-Based"
181,flipping-death,score-7,999," ""Seamus Mullins""","mac-,-ns-,-pc-,ps4-,one-",Action
182,madden-nfl-19,score-8,4.2," ""Eddie Makuch""","-pc-,ps4-,one-","Sports,Team-Based,Football-American,Simulation"
183,we-happy-few,score-4,5.8," ""Alessandro Barbosa""","lnx-,mac-,-pc-,ps4-,one-","Adventure,Action"
184,unavowed,score-9,8.7," ""David Rayfield""","mac-,-pc-",Adventure
185,monster-hunter-world,score-8,8," ""Ginny Woo""","-pc-,ps4-,one-","Action,Role-Playing"
186,overcooked-2,score-8,8.1," ""Kallie Plagge""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Action,Arcade"
187,dead-cells,score-9,7.4," ""Daniel Starkey""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Platformer,2D,Action"
188,no-mans-sky-next,score-8,6.2," ""Justin Clark""","-pc-,ps4-,one-","Adventure,Action"
189,warioware-gold,score-8,999," ""James O&#039;Connor""",3ds-,Party-Minigame
190,the-banner-saga-3,score-8,7.9," ""Edmond Tran""","mac-,-ns-,-pc-,ps4-,one-","Strategy,Turn-Based"
191,semblance,score-7,999," ""James O&#039;Connor""","mac-,-ns-,-pc-","2D,Action,Platformer"
192,mega-man-x-legacy-collection-1-2,score-8,8," ""Steve Watts""","-ns-,-pc-,ps4-,one-",Compilation
193,earthfall,score-4,4.5," ""James Swinbanks""","-pc-,ps4-,one-","First-Person,Shooter,Tactical,Action"
194,mothergunship,score-8,999," ""Alessandro Fillari""","-pc-,ps4-,one-",Action
195,20xx,score-7,999," ""Alessandro Barbosa""","-ns-,-pc-,ps4-,one-","Action,2D,Platformer"
196,fighting-ex-layer,score-8,999," ""Heidi Kemps""","arc-,-pc-,ps4-","Fighting,2D,Action"
197,captain-toad-treasure-tracker-nintendo-switch-revi,score-8,7.9," ""Daniel Starkey""","3ds-,-ns-,iiu-","3D,Platformer,Action"
198,octopath-traveler,score-8,7.5," ""Peter Brown""","-ns-,-pc-",Role-Playing
199,sonic-mania-plus,score-9,8.3," ""Matt Espineli""","-ns-,-pc-,ps4-,one-","Platformer,Action,2D"
200,rainbow-skies,score-5,999," ""James O&#039;Connor""","ps3-,ps4-,ita-",Role-Playing
201,the-crew-2,score-8,6.2," ""Edmond Tran""","-pc-,ps4-,one-","Simulation,Driving-Racing"
202,wreckfest,score-9,8.2," ""James Swinbanks""","-pc-,ps4-,one-","Driving-Racing,Arcade"
203,wolfenstein-2-the-new-colossus-nintendo-switch-rev,score-8,7.8," ""Kallie Plagge""","-ns-,-pc-,ps4-,one-","3D,Action,First-Person,Shooter"
204,lumines-remastered-groove-is-in-the-heart,score-8,8.7," ""Justin Clark""","-ns-,-pc-,ps4-,psp-,one-","Matching-Stacking,Puzzle"
205,crash-bandicoot-n-sane-trilogy,score-6,8.4," ""Peter Brown""","-ns-,-pc-,ps4-,one-",Compilation
206,mario-tennis-aces,score-7,7," ""Justin Clark""",-ns-,"Sports,Tennis"
207,nier-automata,score-9,8.1," ""Miguel Concepcion""","-pc-,ps4-,one-","Role-Playing,Action"
208,the-awesome-adventures-of-captain-spirit-mind-over,score-8,7.7," ""James O&#039;Connor""","-pc-,ps4-,one-","Action,Adventure"
209,jurassic-world-evolution,score-7,8.3," ""James Swinbanks""","-pc-,ps4-,one-","Management,Strategy"
210,unravel-2,score-8,8.1," ""Justin Clark""","-ns-,-pc-,ps4-,one-","Platformer,2D,Action"
211,moonlighter,score-7,999," ""Daniel Starkey""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Action,Role-Playing"
212,sushi-striker-the-way-of-sushido,score-7,999," ""Kevin Knezevic""","3ds-,-ns-","Puzzle,Matching-Stacking"
213,west-of-loathing,score-8,999," ""Edmond Tran""","lnx-,mac-,-ns-,-pc-",Role-Playing
214,onrush,score-9,7.3," ""Richard Wakeling""","-pc-,ps4-,one-","Driving-Racing,Arcade"
215,blazblue-cross-tag-battle,score-9,7.1," ""Michael Higham""","arc-,-ns-,-pc-,ps4-","Fighting,2D,Action"
216,golem,score-5,999," ""Alessandro Barbosa""","-pc-,ps4-",Action
217,yokus-island-express,score-9,7," ""Alexander Pan""","-ns-,-pc-,ps4-,one-",Pinball
218,vampyr,score-7,7," ""Justin Clark""","-ns-,-pc-,ps4-,one-","Role-Playing,Action"
219,dillons-dead-heat-breakers,score-6,999," ""Daniel Starkey""",3ds-,Action
220,the-forest,score-8,8.3," ""Alessandro Barbosa""","-pc-,ps4-,-zx-","Survival,3D,Action,Adventure"
221,agony,score-3,3.7," ""Justin Clark""","-ns-,-pc-,ps4-,one-","Survival,3D,Action,Adventure"
222,street-fighter-30th-anniversary-collection,score-8,8," ""Peter Brown""","-ns-,-pc-,ps4-,one-",Compilation
223,quarantine-circular,score-7,999," ""Alessandro Barbosa""","mac-,-ns-,-pc-","Adventure,Text-Based"
224,wizard-of-legend,score-7,7.3," ""Heidi Kemps""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Action,Role-Playing"
225,conan-exiles,score-3,7.1," ""James Swinbanks""","-pc-,ps4-,one-","Survival,3D,Action,Adventure"
226,detroit-become-human,score-7,8.6," ""Peter Brown""",ps4-,"3D,Third-Person,Adventure"
227,runner-3,score-7,999," ""Justin Clark""","mac-,-ns-,-pc-,ps4-","2D,Action,Platformer"
228,state-of-decay-2,score-5,6.3," ""Alessandro Barbosa""","-pc-,one-","Adventure,Action"
229,hyrule-warriors-definitive-edition,score-8,7.9," ""Daniel Starkey""","3ds-,-ns-,iiu-","Action,3D,Beat-Em-Up"
230,framed-collection,score-7,999," ""James O&#039;Connor""","lnx-,mac-,-ns-,-pc-",Compilation
231,battle-chasers-nightwar,score-8,7.7," ""Justin Clark""","lnx-,mac-,-ns-,-pc-,ps4-,one-",Role-Playing
232,far-lone-sails,score-8,7.8," ""James O&#039;Connor""","mac-,-pc-,ps4-,one-","Platformer,2D,Action"
233,destiny-2-warmind,score-6,6.1," ""Kallie Plagge""","-pc-,ps4-,one-","Action,First-Person,Shooter,3D"
234,pillars-of-eternity-2-deadfire,score-8,8.6," ""Daniel Starkey""","lnx-,mac-,-ns-,-pc-,ps4-,one-",Role-Playing
235,battletech,score-8,8," ""Edmond Tran""","lnx-,mac-,-pc-","Turn-Based,Strategy"
236,city-of-brass,score-7,999," ""Alexander Pan""","-ns-,-pc-,ps4-,one-","Adventure,Action"
237,total-war-saga-thrones-of-britannia,score-8,6.2," ""Ginny Woo""","lnx-,mac-,-pc-","Real-Time,Strategy"
238,nintendo-labo,score-7,999," ""Kallie Plagge""",-ns-,Party-Minigame
239,donkey-kong-country-tropical-freeze,score-9,9," ""Peter Brown""","-ns-,iiu-","2D,Platformer,Action"
240,jotun-valhalla-edition-switch,score-7,7.1," ""Justin Clark""","lnx-,mac-,-ns-,-pc-,ps4-,iiu-,one-",Action
241,frostpunk,score-9,8.4," ""Daniel Starkey""","mac-,-pc-,ps4-,one-","Action,Adventure,Survival,3D"
242,the-invisible-hours,score-7,999," ""Kallie Plagge""","-pc-,ps4-,one-","Adventure,v-r"
243,the-swords-of-ditto,score-7,999," ""James Swinbanks""","lnx-,mac-,-pc-,ps4-","Action,Role-Playing"
244,the-alliance-alive,score-8,999," ""Heidi Kemps""","3ds-,-ns-,-pc-,ps4-",Role-Playing
245,life-is-strange-before-the-storm,score-8,7.7," ""Justin Clark""","and-,lnx-,mac-,-pc-,ps4-,one-","Action,Adventure"
246,yakuza-6-the-song-of-life,score-8,7.2," ""Edmond Tran""",ps4-,"Adventure,Action"
247,god-of-war,score-9,9.3," ""Peter Brown""",ps4-,"Adventure,Action"
248,penny-punching-princess,score-6,999," ""James O&#039;Connor""","-ns-,ita-","Role-Playing,Action"
249,extinction,score-4,4.3," ""Peter Brown""","-pc-,ps4-,one-","Action,Adventure"
250,fortnite-battle-royale,score-8,7.2," ""Michael Higham""","and-,ios-,-ns-,-pc-,ps4-,one-","Third-Person,Action,Shooter,Tactical"
251,far-cry-5,score-9,7.6," ""Edmond Tran""","-pc-,ps4-,one-","3D,Action,First-Person,Shooter"
252,minit,score-8,7.1," ""Alessandro Barbosa""","lnx-,mac-,-ns-,-pc-,ps4-,one-",Adventure
253,kerbal-space-program-making-history,score-7,8.3," ""Justin Clark""","lnx-,mac-,-pc-,ps4-,iiu-,one-",Simulation
254,orwell-ignorance-is-strength,score-6,999," ""James O&#039;Connor""","lnx-,mac-,-pc-",Adventure
255,mlb-the-show-18,score-9,7.9," ""Eddie Makuch""",ps4-,"Team-Based,Baseball,Simulation,Sports"
256,sea-of-thieves,score-6,5.8," ""Peter Brown""","-pc-,one-","MMO,Role-Playing"
257,batman-the-enemy-within-episode-5,score-9,8.2," ""Tamoor Hussain""","and-,ios-,mac-,-ns-,-pc-,ps4-,one-",Adventure
258,h1z1,score-6,6.1," ""Michael Higham""","-pc-,ps4-,one-","Action,Adventure,Survival,3D"
259,ni-no-kuni-2-revenant-kingdom,score-8,7.2," ""Peter Brown""","-pc-,ps4-",Role-Playing
260,a-way-out,score-6,7.2," ""Oscar Dayus""","-pc-,ps4-,one-","Action,Adventure"
261,detective-pikachu,score-7,5.8," ""Kallie Plagge""",3ds-,"Adventure,3D,Third-Person"
262,attack-on-titan-2,score-8,7.9," ""James Swinbanks""","-ns-,-pc-,ps4-,ita-,one-",Action
263,surviving-mars,score-8,6.1," ""Daniel Starkey""","lnx-,mac-,-pc-,ps4-,one-","Management,Strategy"
264,bravo-team,score-4,999," ""Justin Clark""",ps4-,"v-r,First-Person,3D,Shooter,Action"
265,the-25th-ward-the-silver-case,score-6,999," ""Justin Clark""","mac-,-pc-,ps4-",Adventure
266,kirby-star-allies,score-8,6.8," ""Peter Brown""",-ns-,"Platformer,Action,2D"
267,pit-people,score-7,999," ""James O&#039;Connor""","-pc-,one-","Turn-Based,Strategy"
268,qube-2,score-7,999," ""Alessandro Barbosa""","-ns-,-pc-,ps4-,one-","First-Person,Shooter,3D,Action"
269,gravel,score-5,5.7," ""Richard Wakeling""","lnx-,mac-,-pc-,ps4-,one-","Arcade,Driving-Racing"
270,mulaka,score-7,999," ""Jason D&#039;Aprile""","mac-,-ns-,-pc-,ps4-,one-","Action,Adventure"
