,Title,Score,User_Score,Author,Platform,Genre
323,la-noire-switch,score-7,8.5," ""Matt Espineli""","-ns-,-pc-,ps3-,ps4-,360-,one-","Adventure,Action"
324,football-manager-2018,score-9,7.1," ""Richard Wakeling""","lnx-,mac-,-pc-","Team-Based,Football-American,Simulation,Sports"
325,the-elder-scrolls-v-skyrim-switch,score-8,9," ""Kallie Plagge""","-ns-,-pc-,ps3-,ps4-,360-,one-","Role-Playing,v-r"
326,ashes-cricket,score-7,8.1," ""James Swinbanks""","-pc-,ps4-,one-","Sports,Team-Based,Cricket"
327,lego-marvel-super-heroes-2,score-7,7.6," ""Randolph Ramsay""","mac-,-ns-,-pc-,ps4-,one-","3D,Action,Platformer"
328,gt-sport,score-8,6.7," ""James Swinbanks""",ps4-,"Driving-Racing,v-r,Simulation"
329,hand-of-fate-2,score-8,7.8," ""James O&#039;Connor""","lnx-,mac-,-ns-,-pc-,ps4-,one-",Trivia-Board-Game
330,rocket-league-switch,score-9,8.5," ""Peter Brown""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Sports,Team-Based,Arcade,Soccer"
331,pokemon-ultra-sun-and-ultra-moon,score-8,8.5," ""Kallie Plagge""",3ds-,"Role-Playing,Management"
332,etrian-odyssey-5-beyond-the-myth,score-8,7.4," ""Heidi Kemps""",3ds-,Role-Playing
333,sonic-forces,score-5,6.7," ""Matt Espineli""","-ns-,-pc-,ps4-,one-","Adventure,Action"
334,doom-switch,score-7,8.4," ""Peter Brown""","-ns-,-pc-,ps4-,one-","Shooter,3D,Action,First-Person"
335,spelunker-party,score-6,999," ""Heidi Kemps""","-ns-,-pc-","Action,2D,Platformer"
336,steven-universe-save-the-light,score-6,999," ""Justin Clark""","mac-,-ns-,-pc-,ps4-,one-",Role-Playing
337,oure,score-5,999," ""James O&#039;Connor""","-pc-,ps4-","Action,Adventure"
338,need-for-speed-payback,score-5,6," ""Richard Wakeling""","-pc-,ps4-,one-","Arcade,Driving-Racing"
339,horizon-zero-dawn-the-frozen-wilds,score-8,9," ""Peter Brown""",ps4-,"Role-Playing,Action"
340,call-of-duty-wwii,score-9,6.6," ""Miguel Concepcion""","-pc-,ps4-,one-","First-Person,Shooter,3D,Action"
341,super-luckys-tale,score-6,7," ""Kallie Plagge""","-pc-,one-","3D,Action,Platformer"
342,life-is-strange-before-the-storm-episode-2-brave-n,score-7,7.7," ""Justin Clark""","and-,lnx-,mac-,-pc-,ps4-,one-","Adventure,Action"
343,megaton-rainfall,score-7,999," ""Justin Clark""","-ns-,-pc-,ps4-,one-","Action,v-r"
344,the-mummy-demastered,score-7,6.6," ""Jason D&#039;Aprile""","-ns-,-pc-,ps4-,one-","2D,Action,Platformer"
345,wolfenstein-2-the-new-colossus,score-9,7.8," ""Kallie Plagge""","-ns-,-pc-,ps4-,one-","Shooter,3D,Action,First-Person"
346,super-mario-odyssey,score-10,8.6," ""Peter Brown""",-ns-,"Platformer,Action,3D"
347,assassins-creed-origins,score-7,8.4," ""Alessandro Fillari""","-pc-,ps4-,one-","Adventure,Action"
348,arktika1,score-7,999," ""Jason D&#039;Aprile""",-pc-,"Action,Tactical,v-r,First-Person,Shooter"
349,destiny-2,score-8,6.1," ""Kallie Plagge""","-pc-,ps4-,one-","Shooter,3D,Action,First-Person"
350,golf-story,score-8,7.5," ""Ginny Woo""",-ns-,"Action,Adventure"
351,elex,score-4,7.6," ""James Swinbanks""","-pc-,ps4-,one-",Role-Playing
352,wwe-2k18,score-5,5.4," ""Richard Wakeling""","-ns-,-pc-,ps4-,one-","Fighting,Action,Wrestling"
353,fire-emblem-warriors,score-6,6.9," ""Jeremy Winslow""","3ds-,-ns-","Action,3D,Beat-Em-Up"
354,south-park-the-fractured-but-whole,score-8,7.7," ""Miguel Concepcion""","-ns-,-pc-,ps4-,one-",Role-Playing
355,the-evil-within-2,score-8,8.6," ""Alessandro Fillari""","-pc-,ps4-,one-","Survival,3D,Action,Adventure"
356,the-flame-in-the-flood,score-8,7.1," ""Edmond Tran""","mac-,-ns-,-pc-,ps4-,one-","Action,Adventure,Survival,3D"
